Rk,Squad,MP,W,D,L,GF,GA,GD,Mid 3rdVs,Att 3rdVs,Att PenVs,TK Def 3rd,TK Mid 3rd,TK Att 3rd,Blocks,Int,Clr
1,Manchester City,38,29,6,3,99,26,73,243.1,131.6,18.7,6.87,5.13,2.21,10.2,7.79,17.3
2,Liverpool,38,28,8,2,94,26,68,267.8,139.7,22.2,7.89,6.82,1.97,11.9,8.95,18.2
3,Chelsea,38,21,11,6,76,33,43,288,176,21.8,7.87,6,2.11,10.1,10.3,22.7
4,Tottenham,38,22,5,11,69,40,29,229.2,139.1,21.5,8.05,6.76,2.76,12.6,9.42,19
5,Arsenal,38,22,3,13,61,48,13,285.7,171.7,28.2,7.18,6.18,2.16,13.4,10.8,23.3
6,Manchester Utd,38,16,10,12,57,57,0,207.2,116.4,15.9,7.03,7.08,2.24,10.7,9.13,16.9
7,West Ham,38,16,8,14,60,51,9,266.7,150.9,20.6,8.47,6.21,2.05,11.9,8.76,20
8,Leicester City,38,14,10,14,62,59,3,319.5,172.1,23.1,9.71,6.63,2.21,13.1,9.61,21.4
9,Brighton,38,12,15,11,42,44,-2,242.8,140.9,24.5,10.4,7.84,2.45,12.4,10.4,16.4
10,Wolves,38,15,6,17,38,43,-5,268.9,155.9,26.6,8.84,7.11,2.21,12.3,9.66,20.4
11,Newcastle Utd,38,13,10,15,44,62,-18,200.3,91.1,14,5.45,6.32,2.82,9.45,8.95,13.8
12,Crystal Palace,38,11,15,12,50,46,4,164.3,74.1,12.1,4.82,5.63,2.66,7.03,7.34,10.6
13,Brentford,38,13,7,18,48,56,-8,272.2,147.5,21.3,8.42,5.18,1.79,10.6,8.95,18.5
14,Aston Villa,38,13,6,19,52,54,-2,321.1,167.8,23.8,8.76,7,1.55,11.1,9.47,20.4
15,Southampton,38,9,13,16,43,67,-24,308.1,188.3,29.6,8.47,6.37,1.32,11.8,10,22.6
16,Everton,38,11,6,21,43,66,-23,258.2,153,23.3,7.5,6.39,1.95,11.3,11.7,20.9
17,Leeds United,38,9,11,18,42,79,-37,277.4,158.3,22.7,7.53,6.42,1.79,12.4,9.34,20.9
18,Burnley,38,7,14,17,34,53,-19,316.1,171.2,27.3,8.97,5.61,1.58,11.6,11.7,23.7
19,Watford,38,6,5,27,34,77,-43,282.2,160.3,24.7,7.18,5.24,1.63,11.1,9.84,20.6
20,Norwich City,38,5,7,26,23,84,-61,292.6,156.4,24,9.92,6.37,1.42,11.5,10.2,21.6
